id,url,Title,Category,Categories,Authors,Price in NIS,Year,Synopsis,Synopsis length,Price in USD,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight unit,ISBN
11,https://www.bookdelivery.com/il-en/book-etty-hillesum-an-interrupted-life-the-diaries-1941-1943-and-letters-from-westerbork/9780805050875/p/1562696,"Etty Hillesum: An Interrupted Life the Diaries, 1941-1943 and Letters From Westerbork - Hillesum, Etty ; Hoffman, Eva","Related to jewish people or groupsBiography: historical, political and military","Interest Qualifiers, Social Culture, Religious Communities, Jews",Etty Hillesum,80.15,,"For the first time, Etty Hillesum's diary and letters appear together to give us the fullest possible portrait of this extraordinary woman in the midst of World War II. In the darkest years of Nazi occupation and genocide, Etty Hillesum remained a celebrant of life whose lucid intelligence, sympathy, and almost impossible gallantry were themselves a form of inner resistance. The adult counterpart to Anne Frank, Hillesum testifies to the possibility of awareness and compassion in the face of the most devastating challenge to one's humanity. She died at Auschwitz in 1943 at the age of twenty-nine.",602.0,26.63,None,0,English,Paperback,"21.4, 14.1, 2.8",cm,0.39,kg,9780805050875
12,https://www.bookdelivery.com/il-en/book-everybody-is-a-poem-midlife-in-rhymes/9781848409200/p/55981626,"Everybody Is a Poem: Midlife in Rhymes - Brierton, Jan",IrelandUnited kingdomPoetry,"Place Qualifiers, Europe, Western Europe, Ireland",Jan Brierton,42.3,,"For the multitaskers, the overreactors, the silent screamers and the quiet loversEverybody Is a Poem: Midlife in Rhymes is Jan Brierton's second collection. Inspired by Jan's popular podcast these 52 poems delve into the darkest and brightest moments of our day, month or year.Combining rhyme and illustration, Jan puts simple words to those deepest of feelings. She riffs on menopause, midlife, the mental load, friendships, relationships, loss and self-acceptance. Plain-speaking and completely relatable, each poem is served with Jan's signature combination of humour, wit and poignancy.This is poetry for everybody.",619.0,14.06,None,0,English,Paperback,,,,,9781848409200
13,https://www.bookdelivery.com/il-en/book-garfield-fat-cat-3-pack-1/9780345464552/p/1663918,Garfield fat cat 3-Pack #1 - Jim Davis,Anthologies: generalHumour collections and anthologiesNature and the natural world: general interestAmerican/british style comic books and graphic novelsComic strips,"Biographies Literature Literay Studies, Biographies, Anthologies",Jim Davis,60.59,2003,"The perfect holiday gift for fans of the flabby tabby, this rollicking collection includes three books in one: Garfield at Large, Garfield Gains Weight, and Garfield Bigger Than Life. Witty, urbane, sassy, and downright delightful, here are the first three original books of pure Garfield collected in one packed volume. They tell the story of the feisty feline's birth, adoption, and growth into general wonderfulness--just in case you've forgotten--and remind us why we loved him like we do.",493.0,20.13,None,0,English,Paperback,"22.9, 21.6, 2.0",cm,0.75,kg,9780345464552
14,https://www.bookdelivery.com/il-en/book-genghis-khan-and-the-making-of-the-modern-world/9780609809648/p/1714217,"Genghis Khan and the Making of the Modern World  - Weatherford, Jack","EuropeAsiaBiography: historical, political and militaryEuropean history: middle agesAsian history","Place Qualifiers, Europe",Jack Weatherford,67.24,2005,"NEW YORK TIMES BESTSELLER - The startling true history of how one extraordinary man from a remote corner of the world created an empire that led the world into the modern age--by the author featured in Echoes of the Empire: Beyond Genghis Khan. The Mongol army led by Genghis Khan subjugated more lands and people in twenty-five years than the Romans did in four hundred. In nearly every country the Mongols conquered, they brought an unprecedented rise in cultural communication, expanded trade, and a blossoming of civilization. Vastly more progressive than his European or Asian counterparts, Genghis Khan abolished torture, granted universal religious freedom, and smashed feudal systems of aristocratic privilege. From the story of his rise through the tribal culture to the explosion of civilization that the Mongol Empire unleashed, this brilliant work of revisionist history is nothing less than the epic story of how the modern world was made.",952.0,22.34,None,0,English,Paperback,"20.1, 13.2, 2.3",cm,0.27,kg,9780609809648
15,https://www.bookdelivery.com/il-en/book-how-to-read-a-book-the-classic-guide-to-intelligent-reading/9780671212094/p/1523635,How to Read a Book: The Classic Guide to Intelligent Reading  - Mortimer J. Adler,Literature: history and criticismPhilosophy,"Biographies Literature Literay Studies, Literature",Mortimer J. AdlerCharles Van Doren,50.07,1972,"With half a million copies in print,  How to Read a Book is the best and most successful guide to reading comprehension for the general reader, completely rewritten and updated with new material. A CNN Book of the Week: ""Explains not just why we should read books, but how we should read them. It's masterfully done."" -Farheed Zakaria Originally published in 1940, this book is a rare phenomenon, a living classic that introduces and elucidates the various levels of reading and how to achieve them--from elementary reading, through systematic skimming and inspectional reading, to speed reading. Readers will learn when and how to ""judge a book by its cover,"" and also how to X-ray it, read critically, and extract the author's message from the text. Also included is instruction in the different techniques that work best for reading particular genres, such as practical books, imaginative literature, plays, poetry, history, science and mathematics, philosophy and social science works. Finally, the authors offer a recommended reading list and supply reading tests you can use measure your own progress in reading skills, comprehension, and speed.",1151.0,16.64,4.25,4,English,Paperback,"20.8, 17.1, 2.7",cm,0.37,kg,9780671212094
16,https://www.bookdelivery.com/il-en/book-how-to-starve-cancer-and-then-kill-it-with-ferroptosis/9780951951743/p/53540147,"How to Starve Cancer: And Then Kill it With Ferroptosis  - McLelland, Jane","Biography: science, technology and medicineCoping with cancerSelf-assertion, motivation, self-esteem and positive mental attitude","Biographies Literature Literay Studies, Biographies, General, Science Technology Medicine",Jane McLelland,85.67,2021,"An international publishing sensation. This page-turning inspirational read is updated with a new 'Metro Map', Jane's unique and revolutionary route map to starving cancer. A glossary and index will also be included. Written in two sections, in Part 1 Jane intertwines her remarkable life story of 'terminal cancer' to full recovery, describing how she discovered a unique cocktail of off label drugs (drugs usually prescribed for other conditions) and supplements that effectively starve the cancer stem cell, the cell left behind by conventional treatment. Treatment for the stem cell is hailed as the Holy Grail, so this book plugs the missing piece into why we do not have a cure for cancer. Lead cancer researchers at top oncology centers are now using this book as a guide and Jane has a huge following of tens of thousands on Facebook. Testimonials abound from happy and delighted recovered patients and from oncologists who use her methods. National press, TV and radio have already covered Jane's ground-breaking research. Much more is in the pipeline with two documentaries and a possible movie in the future. Jane won the 'Amazing Women Global' Lifetime Achievement 2019 and the New York Big Book Award 2019",1218.0,28.47,None,0,English,Paperback,"22.6, 15.0, 3.0",cm,0.8,kg,9780951951743
17,https://www.bookdelivery.com/il-en/book-i-saw-ramallah/9781400032662/p/1651314,"I saw Ramallah  - Barghouti, Mourid ; Said, Edward W. ; Soueif, Ahdaf",Middle eastLiterature: history and criticism,"Place Qualifiers, Asia, Near East",Mourid Barghouti,53.93,2003,"WINNER OF THE NAGUIB MAHFOUZ MEDAL FOR LITERATURE A fierce and moving work and an unparalleled rendering of the human aspects of the Palestinian predicament.  Barred from his homeland after 1967's Six-Day War, the poet Mourid Barghouti spent thirty years in exile--shuttling among the world's cities, yet secure in none of them; separated from his family for years at a time; never certain whether he was a visitor, a refugee, a citizen, or a guest. As he returns home for the first time since the Israeli occupation, Barghouti crosses a wooden bridge over the Jordan River into Ramallah and is unable to recognize the city of his youth. Sifting through memories of the old Palestine as they come up against what he now encounters in this mere ""idea of Palestine,"" he discovers what it means to be deprived not only of a homeland but of ""the habitual place and status of a person."" A tour de force of memory and reflection, lamentation and resilience, I Saw Ramallah is a deeply humane book, essential to any balanced understanding of today's Middle East.",1055.0,17.92,None,0,English,Paperback,"20.9, 12.8, 0.8",cm,0.22,kg,9781400032662
18,https://www.bookdelivery.com/il-en/book-initiation/9780943358505/p/1608789,"Initiation  - Haich, Elisabeth","Biography: generalMind, body and spirit: thought and practice","Biographies Literature Literay Studies, Biographies, General",Elisabeth Haich,76.56,2000,"An autobiography that connects the twentieth century European life of internationally beloved teacher Elisabeth Haich and her lucid memories of initiation into the hidden mystical teachings of the priesthood in ancient Egypt. It reveals her insights into the subtle workings of karma, reincarnation, and spiritual development.",326.0,25.44,None,0,English,Paperback,"21.3, 14.0, 2.8",cm,0.5,kg,9780943358505
19,https://www.bookdelivery.com/il-en/book-into-the-planet-my-life-as-a-cave-diver/9780062691552/p/52773025,"Into the Planet: My Life as a Cave Diver  - Heinerth, Jill",Biography: adventurers and explorersMemoirsOceanography (seas and oceans),"Biographies Literature Literay Studies, Biographies, General, Adventurer Explorers",Jill Heinerth,65.73,2020,"From one of the world's most renowned cave divers, a firsthand account of exploring the earth's final frontier: the hidden depths of our oceans and the sunken caves inside our planetMore people have died exploring underwater caves than climbing Mount Everest, and we know more about deep space than we do about the depths of our oceans. From one of the top cave divers working today--and one of the very few women in her field--Into the Planet blends science, adventure, and memoir to bring readers face-to-face with the terror and beauty of earth's remaining unknowns and the extremes of human capability.Jill Heinerth--the first person in history to dive deep into an Antarctic iceberg and leader of a team that discovered the ancient watery remains of Mayan civilizations--has descended farther into the inner depths of our planet than any other woman. She takes us into the harrowing split-second decisions that determine whether a diver makes it back to safety, the prejudices that prevent women from pursuing careers underwater, and her endeavor to recover a fallen friend's body from the confines of a cave. But there's beauty beyond the danger of diving, and while Heinerth swims beneath our feet in the lifeblood of our planet, she works with biologists discovering new species, physicists tracking climate change, and hydrogeologists examining our finite freshwater reserves. Written with hair-raising intensity, Into the Planet is the first book to deliver an intimate account of cave diving, transporting readers deep into inner space, where fear must be reconciled and a mission's success balances between knowing one's limits and pushing the envelope of human endurance.",1684.0,21.84,None,0,English,Paperback,"22.6, 15.0, 2.0",cm,0.32,kg,9780062691552
20,https://www.bookdelivery.com/il-en/book-magnum-contact-sheets/9780500292914/p/48405224,"Magnum Contact Sheets  - Lubben, Kristen",Photographic collectionsPhotojournalism and documentary photographyBiography: general,"Arts, Photography Photographers, Collections",Kristen Lubben,159.12,2017,"Available for the first time in an accessible paperback edition, this groundbreaking book presents a remarkable selection of contact sheets and ancillary material, revealing how the most celebrated Magnum photographers capture and edit the very best shots. Addressing key questions of photographic practice, the book illuminates the creative methods, strategies, and editing processes behind some of the world's most iconic images.Featured are 139 contact sheets from sixty- nine photographers, as well as zoom-in details, selected photographs, press cards, notebooks, and spreads from contemporary publications including Life magazine and Picture Post. Further insight into each contact sheet is provided by texts written by the photographers themselves or by experts chosen by the members' estates. Many of the acknowledged greats of photography are featured, including Henri Cartier- Bresson, Elliott Erwitt, and Inge Morath, as well as such members of Magnum's latest generation as Jonas Bendiksen, Alessandra Sanguinetti, and Alec Soth. The contact sheets cover over seventy years of history, from Robert Capa's Normandy landings and the Paris riots of 1968 via Bruno Barbey, to images of Che Geuvara by René Burri, Malcolm X by Eve Arnold, and portraits of classic New Yorkers by Bruce Gilden.",1299.0,52.87,None,0,English,Paperback,"29.2, 24.1, 3.8",cm,2.81,kg,9780500292914
